genome_id	assembly_accession	sra_accession
573.13649		SRR5385984
573.13650		SRR5385983
573.13651		SRR5385982
573.13652		SRR5385981
573.13653		SRR5385980
573.13654		SRR5385979
573.13655		SRR5385978
573.13656		SRR5385977
573.13657		SRR5385976
573.13658		SRR5385975
573.13659		SRR5385974
573.13660		SRR5385972
573.13661		SRR5385971
573.13662		SRR5385970
573.13663		SRR5385969
573.13664		SRR5386418
573.13665		SRR5385968
573.13666		SRR5385967
573.13667		SRR5385966
573.13668		SRR5385965
573.13669		SRR5385964
573.13670		SRR5385963
573.13671		SRR5385962
573.13672		SRR5385960
573.13673		SRR5386417
573.13674		SRR5385959
573.13675		SRR5385958
573.13676		SRR5385957
573.13677		SRR5385956
573.13678		SRR5385955
573.13679		SRR5385954
573.13680		SRR5385953
573.13681		SRR5385952
573.13682		SRR5386416
573.13683		SRR5386415
573.13684		SRR5386414
573.13685		SRR5385951
573.13686		SRR5385950
573.13687		SRR5385949
573.13688		SRR5386413
573.13689		SRR5385947
573.13690		SRR5385946
573.13691		SRR5385945
573.13692		SRR5385944
573.13693		SRR5385943
573.13694		SRR5386412
573.13695		SRR5385941
573.13696		SRR5385940
573.13697		SRR5385939
573.13698		SRR5385937
573.13699		SRR5385936
573.13700		SRR5385935
573.13701		SRR5387427
573.13702		SRR5386411
573.13703		SRR5387426
573.13704		SRR5387425
573.13705		SRR5387424
573.13706		SRR5387423
573.13707		SRR5387422
573.13708		SRR5387421
573.13709		SRR5387419
573.13710		SRR5387418
573.13711		SRR5387417
573.13712		SRR5386410
573.13713		SRR5387416
573.13714		SRR5387415
573.13715		SRR5387414
573.13716		SRR5387413
573.13717		SRR5387412
573.13718		SRR5387411
573.13719		SRR5387410
573.13720		SRR5387409
573.13721		SRR5387407
573.13722		SRR5386409
573.13723		SRR5387406
573.13724		SRR5387405
573.13725		SRR5387404
573.13726		SRR5387403
573.13727		SRR5387402
573.13728		SRR5387401
573.13729		SRR5387400
573.13730		SRR5387399
573.13731		SRR5387398
573.13732		SRR5387397
573.13733		SRR5386408
573.13734		SRR5387396
573.13735		SRR5387395
573.13736		SRR5387394
573.13737		SRR5387393
573.13738		SRR5387391
573.13739		SRR5387390
573.13740		SRR5387389
573.13741		SRR5387388
573.13742		SRR5387387
573.13743		SRR5386407
573.13744		SRR5387386
573.13745		SRR5387385
573.13746		SRR5387384
573.13747		SRR5387383
573.13748		SRR5387382
573.13749		SRR5387379
573.13750		SRR5387378
573.13751		SRR5386406
573.13752		SRR5387377
573.13753		SRR5387376
573.13754		SRR5387375
573.13755		SRR5387374
573.13756		SRR5387373
573.13757		SRR5387372
573.13758		SRR5387371
573.13759		SRR5386405
573.13760		SRR5387368
573.13761		SRR5387367
573.13762		SRR5387366
573.13763		SRR5387144
573.13764		SRR5387364
573.13765		SRR5387363
573.13766		SRR5386404
573.13767		SRR5387362
573.13768		SRR5387361
573.13769		SRR5387359
573.13770		SRR5387360
573.13771		SRR5387358
573.13772		SRR5387357
573.13773		SRR5386403
573.13774		SRR5387356
573.13775		SRR5387355
573.13777		SRR5387353
573.13778		SRR5387352
573.13779		SRR5387351
573.13780		SRR5387350
573.13781		SRR5387349
573.13782		SRR5387348
573.13783		SRR5387347
573.13784		SRR5387346
573.13785		SRR5387345
573.13786		SRR5387344
573.13787		SRR5387343
573.13788		SRR5387342
573.13789		SRR5387341
573.13790		SRR5387339
573.13791		SRR5387338
573.13792		SRR5387337
573.13793		SRR5387335
573.13794		SRR5387334
573.13795		SRR5387333
573.13796		SRR5387332
573.13797		SRR5386401
573.13798		SRR5387331
573.13799		SRR5387330
573.13800		SRR5387329
573.13801		SRR5387328
573.13802		SRR5387326
573.13803		SRR5387325
573.13804		SRR5387324
573.13805		SRR5387322
573.13806		SRR5387321
573.13807		SRR5387318
573.13808		SRR5386399
573.13809		SRR5387316
573.13810		SRR5387315
573.13811		SRR5387314
573.13812		SRR5387313
573.13813		SRR5386398
573.13814		SRR5387311
573.13815		SRR5387310
573.13816		SRR5387308
573.13817		SRR5387307
573.13818		SRR5387306
573.13819		SRR5387305
573.13820		SRR5387304
573.13821		SRR5387303
573.13822		SRR5387302
573.13823		SRR5386397
573.13824		SRR5387301
573.13825		SRR5387300
573.13826		SRR5387299
573.13827		SRR5387298
573.13828		SRR5387296
573.13829		SRR5387295
573.13830		SRR5387294
573.13831		SRR5387293
573.13832		SRR5387291
573.13833		SRR5387290
573.13834		SRR5387289
573.13835		SRR5387288
573.13836		SRR5387287
573.13838		SRR5387285
573.13839		SRR5387284
573.13840		SRR5386395
